fill,nbx,lumi pb-1,ilumi fb-1,run1,Era,Notes
6398,1536,27.073,90.669,306801,,
6399,1536,27.652,90.696,306810,,
6402,2,0.024,90.723,306896,,
6404,644,13.607,90.723,306926,,
6405,1866,45.699,90.737,306936,,
6411,1866,52.752,90.783,307014,,
6413,1866,84.303,90.836,307042,,
6415,1866,50.773,90.920,307073,,
6417,1866,25.153,90.971,307082,2017 end,
6570,2,0.3,90.996,314472,2018 start,
6573,2,0.1,90.996,314556,,
6574,8,1.5,90.996,314649,,
6579,62,13.6,90.998,314747,,
6583,62,5.8,91.011,314810,,
6584,62,9.4,91.017,314816,,
6592,9,0.4,91.026,314848,,
6594,326,63.2,91.027,314859,,
6595,326,39,91.090,314890,,
6611,302,63.2,91.129,315104,,
6612,590,115.6,91.192,315150,,
6613,590,7.2,91.308,315179,,
6614,590,82,91.315,315187,,
6615,590,78.1,91.397,315242,,
6616,974,181.2,91.475,315264,,
6617,974,181.6,91.656,315322,,
6618,974,95,91.838,315339,,
6620,1214,155.5,91.933,315357,,
6621,1214,264.8,92.088,315361,,
6624,1214,260.3,92.353,315420,,
6628,1538,354.6,92.614,315488,,
6629,1874,392,92.968,315506,,
6633,1874,37.6,93.360,315543,,
6636,1874,124.3,93.398,315555,,
6638,2162,509.7,93.522,315640,,
6639,2306,459.8,94.032,315689,,
6640,2448,332.3,94.492,315702,,
6641,2448,365,94.824,315713,,
6642,2448,214.7,95.189,315721,,
